Heures_Etudiees,Presence,Implication_Parentale,Acces_aux_Ressources,Activites_Extrascolaires,Heures_Sommeil,Scores_Precedents,Niveau_Motivation,Acces_Internet,Sessions_Tutorat,Revenu_Famille,Qualite_Enseignant,Type_Ecole,Influence_Entourage,Activite_Physique,Troubles_Apprentissage,Niveau_Education_Parents,Distance_Maison,Genre,Score_Examen
23,91,Moyen,Haut,Oui,10,62,Bas,Oui,1,Moyen,Haut,Privee,Negative,3,Non,Licence,Proche,Homme,70
21,88,Bas,Moyen,Non,4,80,Bas,Oui,1,Moyen,Moyen,Publique,Positif,2,Oui,Master,Proche,Homme,67
10,98,Moyen,Bas,Oui,10,66,Bas,Oui,1,Bas,Haut,Publique,Negative,2,Non,Licence,Proche,Femme,66
19,86,Moyen,Moyen,Non,6,81,Moyen,Oui,3,Moyen,Haut,Publique,Neutre,3,Non,Licence,Proche,Homme,70
27,80,Haut,Moyen,Non,8,90,Bas,Oui,1,Moyen,Haut,Publique,Neutre,3,Non,Master,Proche,Femme,71
19,73,Moyen,Moyen,Oui,7,85,Moyen,Oui,1,Moyen,Moyen,Publique,Neutre,3,Non,Lycee,Loin,Homme,65
26,92,Moyen,Moyen,Non,8,64,Moyen,Oui,1,Moyen,Moyen,Privee,Positif,5,Non,Lycee,Proche,Homme,71
33,78,Moyen,Moyen,Non,9,72,Moyen,Oui,4,Moyen,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Homme,71
14,82,Moyen,Haut,Oui,8,94,Bas,Oui,2,Bas,Haut,Publique,Negative,5,Non,Licence,Loin,Femme,67
24,71,Moyen,Moyen,Oui,7,81,Moyen,Oui,0,Bas,Moyen,Privee,Positif,3,Non,Lycee,Proche,Homme,66
21,92,Haut,Moyen,Oui,4,85,Bas,Oui,1,Haut,Moyen,Publique,Negative,3,Non,Lycee,Loin,Homme,69
22,61,Bas,Bas,Oui,6,82,Bas,Oui,4,Moyen,Moyen,Publique,Positif,4,Non,Lycee,Moderee,Femme,64
18,82,Bas,Moyen,Oui,6,67,Bas,Oui,1,Haut,Bas,Privee,Positif,3,Non,Master,Moderee,Homme,66
14,68,Moyen,Moyen,Oui,6,52,Moyen,Oui,2,Bas,Moyen,Publique,Positif,2,Non,Licence,Proche,Homme,62
23,68,Moyen,Moyen,Oui,9,55,Moyen,Oui,0,Bas,Moyen,Publique,Positif,3,Non,Licence,Moderee,Homme,64
13,71,Moyen,Haut,Non,7,86,Bas,Oui,2,Bas,Moyen,Publique,Positif,3,Non,Master,Proche,Homme,65
16,66,Moyen,Bas,Non,6,63,Bas,Oui,2,Moyen,Haut,Publique,Neutre,3,Non,Licence,Moderee,Homme,61
25,86,Moyen,Moyen,Oui,9,97,Bas,Oui,1,Haut,Moyen,Privee,Neutre,3,Non,Lycee,Moderee,Homme,70
14,80,Bas,Moyen,Oui,8,93,Moyen,Oui,3,Bas,Haut,Privee,Positif,4,Non,Lycee,Proche,Femme,67
23,83,Moyen,Moyen,Oui,7,51,Bas,Oui,3,Moyen,Haut,Publique,Neutre,2,Non,Licence,Moderee,Homme,68
26,67,Moyen,Bas,Oui,10,71,Haut,Oui,3,Bas,Moyen,Publique,Neutre,3,Non,Master,Proche,Homme,67
20,67,Haut,Haut,Non,6,59,Bas,Oui,1,Moyen,Moyen,Privee,Negative,4,Non,Licence,Proche,Femme,65
20,88,Bas,Moyen,Oui,5,85,Moyen,Oui,2,Moyen,Moyen,Publique,Negative,3,Non,Lycee,Proche,Homme,68
15,86,Bas,Moyen,Non,9,97,Moyen,Oui,2,Moyen,Moyen,Publique,Negative,4,Non,Lycee,Proche,Homme,67
25,82,Haut,Moyen,Non,9,72,Haut,Oui,0,Haut,Moyen,Publique,Positif,0,Non,Licence,Proche,Femme,70
28,70,Haut,Bas,Oui,8,87,Haut,Oui,3,Bas,Moyen,Publique,Neutre,3,Non,Master,Moderee,Homme,70
15,85,Haut,Moyen,Non,4,72,Moyen,Oui,4,Bas,Haut,Privee,Neutre,4,Non,Licence,Proche,Homme,69
17,89,Bas,Haut,Non,8,62,Moyen,Oui,1,Bas,Haut,Publique,Positif,1,Non,Lycee,Moderee,Homme,66
18,72,Moyen,Moyen,Oui,7,93,Moyen,Oui,1,Moyen,Moyen,Publique,Positif,3,Non,Licence,Proche,Femme,66
21,97,Moyen,Bas,Non,7,99,Moyen,Oui,1,Haut,Moyen,Publique,Negative,3,Non,Master,Proche,Femme,71
20,81,Moyen,Moyen,Non,8,87,Moyen,Oui,1,Haut,Moyen,Privee,Neutre,3,Non,Lycee,Proche,Homme,68
18,87,Bas,Bas,Non,8,57,Moyen,Non,3,Haut,Haut,Publique,Positif,4,Non,Lycee,Proche,Homme,66
9,97,Bas,Moyen,Oui,7,57,Moyen,Oui,4,Moyen,Haut,Publique,Neutre,5,Non,Lycee,Loin,Femme,67
15,95,Bas,Moyen,Oui,7,99,Bas,Oui,0,Haut,Haut,Publique,Neutre,2,Non,Lycee,Proche,Femme,68
13,82,Moyen,Haut,Non,8,56,Bas,Oui,2,Bas,Haut,Privee,Neutre,3,Non,Master,Proche,Homme,66
21,89,Moyen,Moyen,Non,9,99,Moyen,Oui,0,Moyen,Moyen,Privee,Negative,3,Non,Lycee,Proche,Homme,69
18,81,Bas,Moyen,Oui,6,64,Moyen,Oui,1,Moyen,Moyen,Publique,Positif,4,Non,Lycee,Moderee,Femme,65
23,80,Haut,Moyen,Non,7,57,Bas,Oui,2,Moyen,Haut,Publique,Negative,2,Non,Master,Moderee,Femme,68
34,78,Moyen,Haut,Oui,8,68,Moyen,Oui,1,Moyen,Moyen,Publique,Negative,2,Non,Licence,Proche,Homme,71
19,79,Moyen,Moyen,Oui,8,57,Bas,Oui,2,Bas,Bas,Publique,Positif,3,Non,Lycee,Moderee,Homme,65
16,99,Bas,Haut,Oui,6,100,Haut,Oui,1,Haut,Haut,Publique,Positif,3,Non,Lycee,Loin,Femme,72
14,80,Haut,Moyen,Non,10,56,Bas,Oui,1,Bas,Moyen,Publique,Positif,3,Non,Master,Moderee,Femme,65
26,67,Moyen,Haut,Oui,7,51,Bas,Oui,2,Haut,Haut,Privee,Neutre,4,Oui,Master,Loin,Femme,66
8,71,Haut,Bas,Non,8,75,Moyen,Oui,0,Moyen,Haut,Publique,Positif,3,Non,Lycee,Proche,Homme,61
22,84,Haut,Moyen,Non,8,69,Moyen,Non,3,Moyen,Haut,Privee,Neutre,4,Non,Licence,Proche,Homme,70
20,89,Bas,Moyen,Oui,9,95,Moyen,Oui,3,Bas,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Homme,69
27,63,Haut,Moyen,Oui,6,98,Moyen,Oui,1,Bas,Haut,Publique,Positif,2,Non,Lycee,Moderee,Femme,67
23,66,Moyen,Haut,Non,6,83,Moyen,Oui,0,Haut,Moyen,Publique,Positif,2,Non,Lycee,Proche,Femme,66
21,96,Moyen,Haut,Oui,9,53,Moyen,Oui,0,Bas,Haut,Publique,Neutre,3,Non,Licence,Proche,Homme,70
20,66,Bas,Moyen,Oui,8,54,Moyen,Oui,2,Moyen,Bas,Publique,Positif,2,Non,Master,Proche,Homme,63
19,99,Bas,Haut,Non,8,69,Bas,Oui,0,Haut,Moyen,Privee,Negative,2,Non,Lycee,Moderee,Homme,68
20,64,Moyen,Bas,Oui,8,53,Bas,Oui,1,Bas,Moyen,Publique,Positif,2,Non,Lycee,Proche,Homme,61
16,64,Haut,Moyen,Oui,7,51,Haut,Oui,4,Haut,Haut,Publique,Neutre,3,Non,Licence,Proche,Homme,66
19,62,Moyen,Haut,Oui,6,82,Moyen,Oui,0,Bas,Haut,Publique,Negative,3,Oui,Licence,Moderee,Homme,62
22,73,Haut,Moyen,Oui,7,70,Bas,Non,2,Bas,Moyen,Publique,Positif,3,Non,Licence,Proche,Homme,66
22,98,Moyen,Moyen,Oui,7,100,Bas,Oui,0,Bas,Moyen,Publique,Neutre,3,Non,Lycee,Loin,Homme,70
25,84,Moyen,Moyen,Oui,5,64,Moyen,Oui,0,Bas,Moyen,Publique,Negative,3,Non,Licence,Moderee,Femme,67
24,80,Moyen,Haut,Non,7,100,Moyen,Oui,1,Haut,Haut,Publique,Neutre,3,Non,Master,Moderee,Homme,72
23,90,Bas,Bas,Non,9,50,Bas,Oui,4,Moyen,Moyen,Privee,Neutre,3,Non,Lycee,Moderee,Homme,67
34,96,Moyen,Moyen,Oui,5,94,Haut,Oui,1,Moyen,Haut,Publique,Negative,5,Oui,Lycee,Moderee,Femme,75
30,80,Haut,Haut,Non,6,54,Haut,Oui,1,Haut,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Femme,71
24,81,Moyen,Moyen,Oui,8,78,Moyen,Oui,1,Bas,Moyen,Publique,Positif,2,Non,Lycee,Proche,Homme,68
9,73,Moyen,Moyen,Oui,6,96,Bas,Oui,0,Bas,Haut,Publique,Positif,2,Non,Lycee,Proche,Homme,62
26,65,Moyen,Moyen,Oui,7,82,Bas,Oui,1,Bas,Moyen,Publique,Positif,1,Non,Master,Loin,Homme,65
12,76,Moyen,Bas,Oui,5,71,Bas,Oui,0,Moyen,Moyen,Publique,Negative,4,Non,Lycee,Proche,Homme,61
30,87,Haut,Moyen,Oui,8,58,Haut,Oui,1,Bas,Moyen,Publique,Negative,1,Non,Licence,Proche,Homme,71
29,67,Haut,Bas,Oui,8,83,Moyen,Oui,2,Bas,Moyen,Privee,Positif,4,Oui,Lycee,Proche,Femme,67
27,78,Moyen,Moyen,Non,6,98,Bas,Oui,1,Moyen,Moyen,Publique,Positif,3,Non,Lycee,Loin,Homme,68
8,82,Haut,Bas,Non,4,59,Moyen,Oui,1,Moyen,Moyen,Publique,Neutre,2,Non,Licence,Proche,Homme,62
25,99,Moyen,Haut,Non,6,58,Haut,Oui,0,Moyen,Moyen,Privee,Positif,4,Non,Lycee,Proche,Homme,72
23,85,Moyen,Bas,Non,8,67,Bas,Oui,1,Moyen,Moyen,Privee,Neutre,3,Non,Master,Loin,Femme,66
18,81,Bas,Haut,Oui,6,86,Moyen,Oui,3,Bas,Moyen,Publique,Positif,4,Non,Licence,Proche,Homme,69
20,89,Bas,Moyen,Oui,8,85,Moyen,Oui,2,Moyen,Haut,Publique,Positif,1,Non,Master,Proche,Femme,70
24,80,Bas,Haut,Oui,9,83,Moyen,Oui,1,Bas,Bas,Publique,Negative,1,Non,Lycee,Proche,Homme,67
15,76,Moyen,Moyen,Oui,6,84,Bas,Oui,0,Moyen,Haut,Publique,Neutre,3,Non,Licence,Proche,Femme,65
16,71,Moyen,Moyen,Non,8,51,Moyen,Oui,0,Bas,Moyen,Publique,Negative,2,Non,Master,Loin,Femme,61
22,78,Moyen,Moyen,Oui,5,91,Bas,Oui,0,Moyen,Haut,Privee,Negative,3,Non,Master,Proche,Homme,68
26,89,Moyen,Bas,Oui,7,92,Moyen,Oui,2,Bas,Haut,Publique,Positif,2,Non,Master,Moderee,Homme,72
25,60,Moyen,Bas,Oui,5,73,Bas,Oui,1,Moyen,Moyen,Publique,Negative,2,Non,Lycee,Proche,Homme,62
23,84,Bas,Bas,Non,6,74,Moyen,Non,3,Bas,Moyen,Publique,Positif,1,Non,Lycee,Proche,Femme,66
23,77,Haut,Haut,Oui,8,54,Moyen,Oui,1,Bas,Moyen,Publique,Negative,3,Non,Licence,Moderee,Femme,67
19,78,Moyen,Moyen,Non,7,55,Bas,Oui,0,Moyen,Moyen,Publique,Positif,3,Non,Licence,Proche,Homme,65
28,81,Haut,Moyen,Oui,8,73,Bas,Oui,0,Moyen,Haut,Publique,Negative,3,Non,Master,Proche,Homme,70
9,65,Moyen,Haut,Oui,9,67,Moyen,Oui,1,Haut,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Femme,62
20,83,Moyen,Moyen,Non,6,51,Moyen,Oui,2,Bas,Haut,Publique,Negative,4,Non,Master,Proche,Homme,67
13,70,Haut,Haut,Oui,8,75,Haut,Oui,1,Haut,Moyen,Publique,Positif,2,Oui,Master,Moderee,Homme,66
18,95,Haut,Haut,Oui,8,85,Bas,Oui,2,Bas,Haut,Publique,Positif,3,Non,Licence,Proche,Femme,73
22,69,Moyen,Moyen,Oui,6,91,Bas,Oui,0,Haut,Haut,Privee,Neutre,1,Oui,Lycee,Moderee,Homme,64
24,89,Moyen,Haut,Oui,6,63,Moyen,Oui,2,Haut,Moyen,Privee,Positif,3,Non,Licence,Proche,Homme,72
15,71,Haut,Bas,Non,7,78,Moyen,Oui,0,Moyen,Moyen,Privee,Positif,3,Non,Lycee,Proche,Homme,63
19,91,Bas,Haut,Oui,7,91,Moyen,Oui,1,Haut,Haut,Publique,Neutre,3,Non,Lycee,Proche,Femme,71
7,70,Moyen,Moyen,Oui,6,51,Moyen,Oui,0,Haut,Moyen,Privee,Neutre,1,Non,Lycee,Moderee,Femme,59
12,77,Moyen,Bas,Oui,6,90,Moyen,Oui,2,Moyen,Bas,Publique,Neutre,2,Non,Lycee,Proche,Femme,63
7,60,Moyen,Haut,Oui,10,69,Bas,Oui,0,Bas,Moyen,Privee,Positif,3,Non,Licence,Moderee,Femme,59
26,70,Haut,Moyen,Non,6,81,Bas,Oui,0,Bas,Haut,Publique,Neutre,3,Non,Lycee,Moderee,Homme,66
20,90,Moyen,Moyen,Oui,4,83,Haut,Oui,1,Bas,Bas,Publique,Positif,3,Non,Licence,Proche,Homme,69
33,92,Haut,Haut,Oui,7,67,Bas,Oui,6,Haut,Moyen,Publique,Positif,5,Non,Lycee,Proche,Femme,78
29,68,Moyen,Bas,Non,6,70,Bas,Oui,0,Moyen,Moyen,Publique,Negative,2,Non,Master,Proche,Homme,64
6,85,Haut,Moyen,Oui,9,70,Haut,Oui,0,Bas,Moyen,Publique,Positif,3,Oui,Master,Proche,Femme,64
21,66,Moyen,Moyen,Oui,5,70,Moyen,Oui,1,Bas,Haut,Privee,Positif,5,Non,Lycee,Proche,Femme,65
23,64,Moyen,Bas,Oui,5,59,Moyen,Oui,3,Bas,Moyen,Publique,Positif,5,Non,Lycee,Moderee,Femme,64
12,62,Moyen,Haut,Oui,7,63,Haut,Oui,1,Haut,Moyen,Publique,Neutre,4,Non,Lycee,Proche,Femme,62
17,77,Haut,Moyen,Oui,4,77,Bas,Oui,0,Moyen,Moyen,Privee,Positif,4,Non,Lycee,Proche,Femme,66
12,71,Moyen,Moyen,Non,8,54,Moyen,Oui,0,Bas,Bas,Publique,Positif,5,Non,Licence,Proche,Homme,61
18,85,Moyen,Haut,Oui,6,95,Haut,Oui,2,Bas,Bas,Privee,Positif,4,Non,Licence,Proche,Femme,70
15,87,Moyen,Haut,Oui,10,52,Moyen,Oui,2,Bas,Haut,Privee,Positif,3,Non,Licence,Proche,Homme,68
33,62,Haut,Moyen,Oui,10,78,Moyen,Oui,0,Moyen,Moyen,Privee,Positif,3,Non,Lycee,Moderee,Femme,68
16,73,Haut,Moyen,Oui,8,52,Moyen,Oui,2,Moyen,Haut,Publique,Positif,4,Non,Licence,Proche,Femme,66
28,87,Bas,Bas,Oui,7,57,Moyen,Oui,2,Moyen,Haut,Privee,Negative,4,Non,Lycee,Moderee,Homme,68
12,70,Moyen,Haut,Non,5,53,Moyen,Oui,2,Bas,Moyen,Privee,Positif,3,Non,Licence,Proche,Homme,63
18,86,Bas,Moyen,Oui,9,62,Moyen,Oui,4,Moyen,Moyen,Publique,Negative,2,Oui,Master,Proche,Femme,67
11,81,Bas,Haut,Oui,7,63,Moyen,Oui,3,Moyen,Moyen,Publique,Neutre,2,Non,Master,Proche,Homme,66
23,81,Haut,Moyen,Non,8,78,Haut,Oui,4,Bas,Bas,Publique,Positif,3,Non,Lycee,Moderee,Homme,70
24,81,Moyen,Moyen,Oui,6,85,Moyen,Non,1,Moyen,Haut,Publique,Neutre,4,Non,Licence,Moderee,Homme,68
14,63,Moyen,Moyen,Non,8,81,Bas,Oui,0,Moyen,Bas,Privee,Positif,5,Non,Lycee,Proche,Femme,61
13,92,Moyen,Haut,Oui,7,70,Bas,Oui,4,Bas,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Homme,68
23,84,Moyen,Haut,Oui,7,73,Moyen,Oui,1,Haut,Moyen,Publique,Positif,4,Non,Lycee,Proche,Homme,71
29,66,Haut,Haut,Non,6,66,Moyen,Oui,0,Moyen,Moyen,Privee,Negative,3,Non,Master,Proche,Homme,68
17,84,Bas,Bas,Oui,6,71,Bas,Oui,0,Moyen,Moyen,Privee,Negative,4,Oui,Lycee,Proche,Homme,62
29,95,Moyen,Bas,Oui,9,88,Moyen,Oui,0,Moyen,Haut,Publique,Neutre,2,Non,Lycee,Proche,Femme,72
25,95,Moyen,Moyen,Oui,7,77,Haut,Non,0,Bas,Haut,Publique,Neutre,3,Non,Master,Proche,Homme,71
26,98,Moyen,Moyen,Oui,4,81,Bas,Oui,1,Bas,Moyen,Publique,Positif,4,Non,Master,Proche,Homme,73
19,94,Moyen,Moyen,Non,7,97,Moyen,Oui,0,Moyen,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Femme,69
28,68,Bas,Haut,Oui,8,99,Moyen,Oui,1,Haut,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Femme,69
19,94,Haut,Bas,Oui,7,75,Moyen,Oui,2,Haut,Moyen,Publique,Negative,5,Non,Licence,Proche,Femme,71
6,98,Moyen,Bas,Non,8,75,Moyen,Oui,1,Haut,Moyen,Publique,Neutre,3,Oui,Master,Loin,Femme,64
23,68,Moyen,Haut,Non,5,91,Bas,Oui,5,Bas,Moyen,Publique,Neutre,1,Non,Licence,Proche,Femme,68
10,73,Moyen,Bas,Oui,9,58,Bas,Oui,5,Bas,Moyen,Privee,Negative,3,Non,Lycee,Moderee,Homme,61
22,73,Haut,Haut,Oui,4,76,Haut,Oui,3,Moyen,Moyen,Publique,Negative,4,Non,Licence,Loin,Homme,69
28,67,Haut,Haut,Non,8,82,Bas,Oui,1,Haut,Bas,Publique,Neutre,4,Non,Lycee,Proche,Femme,68
22,74,Moyen,Bas,Non,5,61,Moyen,Oui,1,Bas,Moyen,Publique,Positif,3,Non,Master,Proche,Femme,65
14,84,Haut,Haut,Non,8,99,Moyen,Non,3,Moyen,Haut,Publique,Neutre,4,Non,Master,Proche,Femme,70
8,97,Moyen,Haut,Oui,8,58,Haut,Oui,2,Haut,Moyen,Publique,Neutre,2,Non,Licence,Proche,Femme,69
27,89,Moyen,Moyen,Non,5,62,Moyen,Oui,0,Bas,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Homme,69
20,75,Bas,Haut,Non,8,67,Moyen,Oui,1,Haut,Bas,Publique,Positif,4,Non,Licence,Moderee,Homme,66
16,63,Moyen,Moyen,Non,8,79,Moyen,Oui,2,Bas,Haut,Publique,Positif,3,Non,Licence,Moderee,Homme,63
32,87,Moyen,Haut,Oui,6,55,Moyen,Oui,0,Bas,Haut,Publique,Neutre,3,Non,Lycee,Proche,Homme,71
20,68,Bas,Bas,Non,8,88,Moyen,Oui,5,Bas,Bas,Privee,Neutre,3,Non,Lycee,Moderee,Homme,63
10,75,Moyen,Haut,Oui,8,90,Moyen,Oui,2,Bas,Moyen,Publique,Positif,2,Non,Master,Moderee,Homme,65
15,83,Moyen,Bas,Oui,7,83,Bas,Oui,1,Haut,Moyen,Publique,Neutre,2,Non,Master,Proche,Femme,66
9,81,Moyen,Moyen,Oui,7,99,Moyen,Oui,2,Bas,Moyen,Publique,Neutre,3,Non,Lycee,Moderee,Femme,64
14,66,Bas,Moyen,Oui,6,96,Bas,Oui,0,Haut,Moyen,Publique,Negative,3,Non,Licence,Moderee,Homme,61
23,62,Moyen,Moyen,Non,8,91,Haut,Non,3,Haut,Bas,Publique,Neutre,3,Non,Lycee,Moderee,Homme,64
27,60,Haut,Haut,Non,6,53,Bas,Oui,3,Bas,Bas,Privee,Positif,2,Non,Lycee,Moderee,Femme,65
18,90,Haut,Moyen,Oui,5,52,Bas,Oui,5,Moyen,Moyen,Privee,Positif,3,Oui,Lycee,Moderee,Homme,68
13,69,Haut,Bas,Non,4,94,Moyen,Oui,3,Bas,Bas,Publique,Positif,3,Oui,Lycee,Proche,Homme,62
5,84,Moyen,Moyen,Oui,8,93,Haut,Oui,4,Haut,Haut,Publique,Positif,3,Non,Licence,Moderee,Homme,68
14,84,Moyen,Moyen,Non,5,82,Moyen,Oui,3,Bas,Moyen,Publique,Positif,3,Non,Licence,Loin,Homme,66
14,75,Moyen,Bas,Oui,8,62,Bas,Oui,0,Haut,Moyen,Publique,Negative,2,Non,Lycee,Moderee,Femme,61
18,69,Haut,Haut,Oui,7,97,Moyen,Oui,2,Moyen,Moyen,Publique,Positif,2,Non,Licence,Proche,Femme,69
26,71,Bas,Moyen,Oui,5,77,Bas,Oui,0,Moyen,Moyen,Publique,Neutre,5,Non,Master,Proche,Homme,66
22,88,Moyen,Moyen,Oui,5,60,Bas,Oui,1,Bas,Moyen,Publique,Neutre,2,Non,Lycee,Moderee,Homme,67
16,96,Haut,Moyen,Oui,5,58,Moyen,Oui,2,Haut,Bas,Publique,Positif,5,Non,Master,Moderee,Homme,71
18,78,Haut,Haut,Oui,6,61,Bas,Oui,1,Bas,Moyen,Privee,Positif,5,Non,Lycee,Proche,Homme,67
17,61,Haut,Moyen,Non,7,63,Bas,Oui,1,Moyen,Moyen,Publique,Positif,4,Non,Licence,Moderee,Femme,62
15,69,Moyen,Moyen,Oui,7,74,Haut,Oui,2,Bas,Moyen,Privee,Neutre,5,Non,Master,Proche,Femme,65
17,98,Haut,Moyen,Non,7,88,Moyen,Oui,2,Bas,Haut,Privee,Negative,4,Non,Lycee,Loin,Homme,70
34,68,Moyen,Moyen,Non,7,67,Haut,Oui,0,Moyen,Moyen,Privee,Neutre,2,Non,Lycee,Moderee,Homme,67
26,77,Bas,Bas,Non,7,71,Moyen,Oui,1,Moyen,Haut,Publique,Neutre,4,Non,Master,Moderee,Homme,66
15,65,Moyen,Moyen,Non,8,62,Moyen,Oui,1,Moyen,Moyen,Publique,Neutre,4,Non,Lycee,Moderee,Femme,61
18,99,Moyen,Moyen,Oui,7,86,Moyen,Non,1,Haut,Moyen,Publique,Neutre,4,Non,Lycee,Moderee,Femme,70
28,91,Haut,Moyen,Oui,4,78,Bas,Oui,1,Moyen,Bas,Publique,Positif,3,Non,Lycee,Moderee,Homme,72
28,73,Haut,Moyen,Oui,6,71,Moyen,Oui,0,Moyen,Haut,Privee,Positif,2,Non,Licence,Moderee,Femme,69
18,87,Moyen,Moyen,Non,5,61,Haut,Oui,2,Moyen,Moyen,Publique,Positif,1,Non,Lycee,Proche,Homme,68
11,73,Haut,Bas,Oui,7,68,Haut,Oui,3,Bas,Haut,Privee,Neutre,3,Non,Licence,Moderee,Femme,64
18,69,Moyen,Bas,Oui,5,73,Bas,Oui,1,Bas,Haut,Publique,Positif,4,Non,Master,Moderee,Homme,64
18,98,Bas,Haut,Oui,6,87,Moyen,Oui,0,Moyen,Moyen,Publique,Neutre,1,Non,Lycee,Proche,Homme,70
24,95,Moyen,Bas,Oui,6,96,Haut,Oui,3,Bas,Moyen,Privee,Neutre,3,Non,Master,Proche,Femme,73
28,88,Bas,Haut,Oui,8,93,Moyen,Oui,3,Bas,Moyen,Publique,Negative,1,Non,Master,Moderee,Femme,72
20,76,Moyen,Moyen,Non,6,94,Bas,Oui,2,Bas,Haut,Publique,Neutre,3,Oui,Lycee,Moderee,Homme,65
8,65,Moyen,Moyen,Non,7,83,Bas,Oui,3,Moyen,Moyen,Publique,Negative,4,Non,Lycee,Proche,Femme,60
22,98,Moyen,Haut,Non,5,69,Bas,Non,1,Bas,Haut,Publique,Negative,4,Non,Lycee,Moderee,Femme,69
19,89,Haut,Moyen,Oui,7,95,Moyen,Oui,0,Moyen,Moyen,Publique,Positif,3,Non,Lycee,Proche,Homme,70
20,81,Haut,Moyen,Oui,4,55,Moyen,Oui,1,Haut,Moyen,Privee,Positif,2,Non,Master,Moderee,Homme,68
26,83,Bas,Bas,Non,7,70,Haut,Non,2,Moyen,Haut,Publique,Negative,4,Oui,Lycee,Moderee,Homme,65
