Heures_Etudiees,Presence,Implication_Parentale,Acces_aux_Ressources,Activites_Extrascolaires,Heures_Sommeil,Scores_Precedents,Niveau_Motivation,Acces_Internet,Sessions_Tutorat,Revenu_Famille,Qualite_Enseignant,Type_Ecole,Influence_Entourage,Activite_Physique,Troubles_Apprentissage,Niveau_Education_Parents,Distance_Maison,Genre,Score_Examen
21,84,Moyen,Moyen,Oui,6,52,Bas,Oui,1,Moyen,Haut,Publique,Neutre,2,Oui,Licence,Loin,Femme,65
19,63,Bas,Haut,Non,7,94,Moyen,Oui,1,Moyen,Moyen,Privee,Positif,3,Non,Lycee,Moderee,Homme,64
18,94,Moyen,Haut,Oui,7,82,Moyen,Oui,3,Moyen,Moyen,Privee,Negative,2,Oui,Licence,Proche,Homme,70
11,98,Moyen,Moyen,Oui,9,82,Bas,Oui,1,Moyen,Moyen,Privee,Positif,3,Non,Master,Loin,Homme,68
16,70,Moyen,Moyen,Oui,8,98,Moyen,Oui,2,Moyen,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Homme,65
17,78,Moyen,Moyen,Oui,6,88,Moyen,Oui,1,Moyen,Haut,Privee,Positif,3,Non,Licence,Proche,Femme,68
26,61,Moyen,Bas,Oui,6,70,Moyen,Oui,2,Bas,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Femme,64
22,86,Bas,Moyen,Oui,7,72,Bas,Oui,3,Bas,Haut,Publique,Positif,2,Non,Lycee,Moderee,Homme,68
9,77,Moyen,Moyen,Non,5,57,Moyen,Oui,2,Moyen,Haut,Publique,Neutre,3,Non,Lycee,Proche,Homme,63
22,71,Bas,Moyen,Oui,7,65,Bas,Oui,1,Moyen,Bas,Publique,Positif,4,Non,Licence,Moderee,Homme,64
18,68,Haut,Moyen,Non,7,72,Moyen,Oui,0,Moyen,Moyen,Publique,Neutre,3,Non,Licence,Proche,Homme,64
16,86,Bas,Moyen,Oui,8,63,Moyen,Oui,2,Moyen,Moyen,Publique,Positif,4,Non,Lycee,Proche,Homme,67
24,77,Haut,Bas,Non,8,96,Moyen,Oui,0,Moyen,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Femme,67
26,67,Moyen,Haut,Oui,7,51,Bas,Oui,2,Haut,Haut,Privee,Neutre,4,Oui,Master,Loin,Femme,66
26,88,Moyen,Haut,Oui,5,79,Moyen,Oui,1,Bas,Haut,Privee,Positif,4,Non,Licence,Moderee,Homme,72
15,83,Moyen,Haut,Non,5,89,Bas,Non,1,Moyen,Haut,Publique,Neutre,2,Oui,Lycee,Proche,Femme,65
18,94,Moyen,Moyen,Oui,6,87,Haut,Oui,1,Moyen,Moyen,Publique,Positif,4,Non,Lycee,Proche,Homme,71
22,65,Haut,Bas,Non,8,82,Moyen,Oui,2,Moyen,Haut,Publique,Positif,1,Non,Master,Proche,Femme,66
26,91,Moyen,Bas,Oui,8,71,Moyen,Oui,0,Bas,Moyen,Privee,Neutre,3,Non,Lycee,Moderee,Homme,68
17,87,Moyen,Moyen,Non,7,96,Moyen,Oui,1,Haut,Moyen,Publique,Negative,5,Non,Master,Proche,Femme,70
19,65,Moyen,Moyen,Oui,10,66,Bas,Oui,0,Bas,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Homme,62
13,88,Bas,Haut,Oui,9,88,Haut,Oui,2,Bas,Haut,Privee,Negative,4,Non,Master,Loin,Homme,68
13,78,Moyen,Haut,Oui,9,96,Haut,Oui,2,Bas,Moyen,Publique,Neutre,3,Non,Licence,Moderee,Homme,67
25,98,Bas,Haut,Oui,8,56,Moyen,Non,0,Moyen,Haut,Privee,Neutre,3,Non,Master,Proche,Homme,71
28,66,Moyen,Haut,Oui,8,97,Moyen,Oui,0,Moyen,Moyen,Publique,Neutre,2,Non,Lycee,Proche,Homme,68
20,86,Moyen,Moyen,Oui,8,89,Moyen,Oui,1,Bas,Moyen,Publique,Negative,3,Non,Master,Proche,Homme,69
26,75,Bas,Haut,Oui,4,81,Haut,Oui,3,Moyen,Haut,Privee,Positif,2,Non,Lycee,Moderee,Homme,70
22,98,Moyen,Haut,Non,5,69,Bas,Non,1,Bas,Haut,Publique,Negative,4,Non,Lycee,Moderee,Femme,69
16,73,Moyen,Moyen,Non,7,95,Moyen,Oui,1,Bas,Moyen,Publique,Negative,4,Non,Licence,Proche,Homme,65
22,98,Moyen,Bas,Oui,7,52,Moyen,Non,3,Moyen,Moyen,Publique,Positif,3,Non,Licence,Proche,Femme,70
29,96,Moyen,Bas,Oui,7,72,Moyen,Oui,1,Bas,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Homme,71
20,71,Moyen,Moyen,Oui,7,88,Moyen,Oui,1,Bas,Bas,Publique,Neutre,4,Non,Licence,Proche,Femme,65
29,92,Bas,Moyen,Non,4,91,Moyen,Oui,2,Moyen,Moyen,Publique,Negative,1,Non,Master,Proche,Femme,72
4,100,Haut,Haut,Oui,8,60,Haut,Oui,0,Moyen,Haut,Privee,Positif,4,Non,Licence,Moderee,Homme,69
25,70,Moyen,Moyen,Non,7,52,Moyen,Oui,1,Moyen,Moyen,Publique,Positif,3,Non,Master,Proche,Femme,66
21,77,Bas,Moyen,Oui,7,90,Moyen,Oui,4,Moyen,Moyen,Privee,Neutre,3,Non,Master,Moderee,Homme,68
18,81,Haut,Bas,Oui,8,71,Moyen,Oui,0,Moyen,Moyen,Publique,Neutre,3,Non,Lycee,Moderee,Femme,65
21,72,Moyen,Moyen,Oui,5,57,Moyen,Oui,1,Haut,Moyen,Publique,Neutre,5,Oui,Licence,Moderee,Homme,64
8,61,Moyen,Moyen,Oui,7,54,Moyen,Oui,1,Haut,Moyen,Publique,Positif,3,Non,Licence,Proche,Homme,60
19,69,Moyen,Haut,Oui,7,82,Haut,Oui,1,Bas,Moyen,Publique,Negative,2,Non,Lycee,Proche,Homme,65
22,71,Haut,Moyen,Non,6,79,Haut,Oui,1,Bas,Bas,Publique,Positif,3,Non,Lycee,Proche,Homme,66
29,78,Haut,Haut,Oui,4,93,Bas,Oui,5,Moyen,Haut,Publique,Neutre,3,Non,Licence,Proche,Homme,74
17,67,Moyen,Moyen,Oui,5,52,Haut,Oui,2,Moyen,Moyen,Privee,Negative,3,Non,Lycee,Loin,Femme,62
15,95,Moyen,Moyen,Non,7,93,Moyen,Oui,2,Bas,Moyen,Publique,Positif,4,Non,Licence,Moderee,Homme,70
17,88,Moyen,Haut,Oui,7,94,Bas,Oui,0,Moyen,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Homme,69
25,63,Moyen,Haut,Oui,7,72,Moyen,Oui,3,Moyen,Haut,Privee,Negative,4,Non,Licence,Loin,Homme,67
22,86,Bas,Bas,Non,6,54,Moyen,Oui,2,Moyen,Moyen,Publique,Neutre,0,Non,Lycee,Moderee,Homme,64
17,86,Moyen,Haut,Non,5,97,Haut,Oui,3,Haut,Moyen,Publique,Neutre,3,Non,Licence,Proche,Homme,71
23,98,Moyen,Bas,Oui,7,54,Bas,Oui,0,Moyen,Moyen,Publique,Negative,3,Non,Licence,Proche,Femme,68
21,60,Haut,Moyen,Non,7,80,Moyen,Oui,0,Moyen,Haut,Publique,Neutre,4,Oui,Licence,Proche,Homme,64
26,70,Moyen,Bas,Oui,8,75,Moyen,Oui,1,Moyen,Bas,Privee,Neutre,4,Oui,Lycee,Loin,Femme,63
16,97,Moyen,Moyen,Oui,6,92,Bas,Oui,0,Haut,Moyen,Privee,Positif,4,Non,Licence,Proche,Homme,71
18,97,Haut,Moyen,Oui,4,75,Bas,Oui,0,Bas,Moyen,Publique,Positif,3,Non,Lycee,Moderee,Homme,69
18,89,Haut,Moyen,Oui,4,73,Moyen,Oui,3,Haut,Moyen,Privee,Positif,2,Non,Licence,Proche,Femme,100
11,91,Moyen,Moyen,Non,6,94,Moyen,Oui,3,Moyen,Moyen,Publique,Neutre,3,Non,Licence,Moderee,Homme,68
22,64,Bas,Moyen,Non,7,98,Bas,Non,1,Moyen,Moyen,Publique,Negative,3,Non,Lycee,Proche,Homme,62
22,81,Moyen,Moyen,Oui,7,77,Bas,Oui,2,Moyen,Moyen,Publique,Positif,3,Non,Master,Loin,Femme,68
20,69,Haut,Haut,Oui,6,73,Moyen,Oui,2,Bas,Moyen,Privee,Positif,3,Non,Lycee,Loin,Homme,66
19,67,Bas,Moyen,Non,5,92,Haut,Oui,0,Moyen,Moyen,Publique,Positif,3,Non,Licence,Proche,Homme,64
12,92,Moyen,Moyen,Non,4,92,Haut,Oui,2,Moyen,Haut,Publique,Neutre,3,Oui,Lycee,Moderee,Homme,67
17,65,Moyen,Haut,Oui,8,66,Moyen,Oui,1,Haut,Haut,Publique,Neutre,4,Oui,Master,Moderee,Femme,65
18,79,Moyen,Moyen,Oui,7,79,Moyen,Oui,0,Bas,Haut,Privee,Neutre,3,Non,Licence,Loin,Homme,65
15,98,Haut,Moyen,Non,6,58,Haut,Oui,0,Bas,Haut,Publique,Positif,3,Non,Licence,Proche,Homme,69
19,67,Moyen,Moyen,Non,5,82,Haut,Oui,1,Bas,Bas,Privee,Negative,3,Non,Lycee,Proche,Homme,63
22,99,Moyen,Bas,Oui,6,92,Bas,Oui,3,Moyen,Moyen,Publique,Negative,4,Non,Master,Moderee,Homme,72
31,100,Moyen,Moyen,Non,7,59,Moyen,Oui,2,Haut,Haut,Publique,Positif,5,Non,Master,Moderee,Homme,76
21,82,Moyen,Haut,Oui,7,66,Haut,Oui,3,Bas,Moyen,Publique,Positif,3,Oui,Licence,Proche,Femme,69
22,67,Moyen,Moyen,Oui,7,72,Haut,Oui,3,Bas,Haut,Publique,Positif,2,Non,Master,Moderee,Femme,67
20,73,Haut,Moyen,Oui,9,92,Moyen,Oui,2,Moyen,Haut,Publique,Positif,3,Non,Licence,Proche,Homme,69
8,77,Haut,Moyen,Oui,6,87,Moyen,Oui,0,Bas,Moyen,Publique,Neutre,2,Non,Lycee,Moderee,Homme,63
20,72,Moyen,Moyen,Non,9,66,Moyen,Oui,3,Bas,Haut,Privee,Positif,3,Non,Master,Proche,Homme,67
20,71,Bas,Haut,Oui,7,62,Haut,Oui,2,Moyen,Moyen,Publique,Negative,5,Non,Licence,Proche,Homme,66
35,99,Haut,Haut,Oui,7,85,Bas,Oui,2,Moyen,Haut,Privee,Neutre,2,Non,Master,Proche,Femme,79
19,66,Moyen,Moyen,Non,8,74,Moyen,Oui,1,Haut,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Femme,64
22,89,Haut,Haut,Oui,6,80,Moyen,Oui,1,Haut,Haut,Publique,Positif,3,Non,Lycee,Proche,Femme,73
20,60,Bas,Haut,Non,7,82,Haut,Oui,2,Bas,Haut,Publique,Positif,4,Oui,Lycee,Proche,Homme,63
13,84,Moyen,Moyen,Non,5,78,Moyen,Oui,1,Bas,Haut,Publique,Positif,2,Non,Lycee,Proche,Homme,65
27,97,Bas,Haut,Oui,8,81,Moyen,Oui,0,Haut,Moyen,Publique,Positif,5,Non,Lycee,Proche,Femme,73
25,72,Haut,Haut,Oui,8,94,Bas,Oui,2,Bas,Moyen,Privee,Positif,4,Non,Licence,Moderee,Femme,70
25,67,Haut,Moyen,Non,9,93,Haut,Oui,2,Bas,Haut,Publique,Positif,3,Oui,Lycee,Proche,Femme,68
15,86,Moyen,Moyen,Oui,7,57,Moyen,Oui,1,Moyen,Moyen,Publique,Negative,3,Non,Licence,Proche,Homme,65
28,89,Bas,Haut,Oui,9,79,Haut,Oui,0,Bas,Moyen,Privee,Positif,1,Non,Licence,Moderee,Femme,71
12,88,Bas,Moyen,Non,6,72,Bas,Oui,2,Moyen,Moyen,Publique,Positif,2,Non,Licence,Loin,Homme,64
24,73,Moyen,Haut,Oui,8,64,Moyen,Oui,4,Haut,Moyen,Privee,Neutre,3,Oui,Licence,Moderee,Homme,68
33,70,Moyen,Moyen,Oui,6,82,Bas,Oui,1,Bas,Haut,Publique,Neutre,4,Non,Licence,Proche,Homme,69
14,98,Moyen,Moyen,Non,7,76,Moyen,Oui,0,Moyen,Haut,Privee,Positif,4,Non,Licence,Moderee,Femme,69
21,78,Moyen,Moyen,Oui,10,55,Moyen,Oui,1,Haut,Bas,Privee,Positif,2,Non,Licence,Proche,Homme,67
17,94,Bas,Moyen,Oui,8,65,Bas,Oui,4,Moyen,Moyen,Publique,Neutre,6,Non,Lycee,Loin,Femme,68
11,78,Moyen,Haut,Oui,8,51,Moyen,Oui,2,Bas,Moyen,Publique,Neutre,3,Non,Master,Proche,Homme,64
20,77,Moyen,Moyen,Non,6,87,Bas,Oui,0,Bas,Haut,Publique,Positif,4,Non,Lycee,Proche,Femme,66
14,66,Haut,Bas,Non,7,96,Moyen,Oui,3,Bas,Haut,Publique,Negative,3,Non,Lycee,Proche,Homme,63
23,77,Moyen,Moyen,Oui,7,79,Moyen,Oui,0,Bas,Haut,Publique,Neutre,2,Non,Lycee,Moderee,Homme,66
14,81,Moyen,Moyen,Non,9,81,Moyen,Oui,1,Bas,Haut,Privee,Negative,3,Non,Master,Proche,Femme,66
29,61,Moyen,Haut,Oui,7,52,Bas,Oui,3,Bas,Moyen,Privee,Positif,3,Non,Licence,Proche,Femme,67
15,78,Haut,Haut,Non,9,75,Bas,Oui,1,Bas,Moyen,Publique,Negative,1,Non,Lycee,Proche,Homme,65
18,91,Bas,Moyen,Oui,5,76,Moyen,Oui,1,Moyen,Moyen,Publique,Neutre,3,Non,Lycee,Proche,Femme,68
25,87,Moyen,Bas,Non,9,52,Haut,Oui,1,Bas,Haut,Privee,Positif,2,Non,Lycee,Proche,Homme,68
13,85,Haut,Moyen,Non,6,89,Moyen,Oui,0,Haut,Moyen,Privee,Neutre,1,Oui,Lycee,Proche,Homme,65
21,96,Moyen,Moyen,Non,8,64,Haut,Oui,2,Moyen,Haut,Publique,Neutre,0,Non,Licence,Proche,Homme,71
28,61,Moyen,Haut,Non,6,86,Haut,Oui,1,Bas,Moyen,Privee,Negative,3,Oui,Master,Loin,Homme,65
10,82,Moyen,Bas,Non,8,70,Moyen,Oui,3,Bas,Haut,Publique,Positif,1,Oui,Master,Proche,Femme,64
21,91,Haut,Moyen,Non,6,100,Moyen,Oui,0,Haut,Moyen,Privee,Neutre,2,Non,Master,Proche,Femme,72
22,82,Moyen,Moyen,Non,9,61,Moyen,Oui,2,Bas,Moyen,Publique,Negative,2,Oui,Lycee,Proche,Femme,65
25,73,Moyen,Haut,Non,8,53,Haut,Non,0,Bas,Haut,Privee,Negative,5,Non,Master,Proche,Femme,66
13,65,Bas,Haut,Non,6,99,Moyen,Oui,0,Bas,Moyen,Privee,Negative,4,Non,Lycee,Proche,Homme,61
12,96,Bas,Haut,Oui,8,62,Moyen,Oui,2,Moyen,Haut,Publique,Negative,3,Non,Licence,Proche,Femme,68
23,79,Haut,Haut,Oui,8,82,Bas,Oui,3,Moyen,Moyen,Publique,Negative,3,Oui,Master,Moderee,Femme,69
22,95,Moyen,Haut,Oui,6,69,Moyen,Oui,1,Bas,Moyen,Publique,Positif,3,Non,Licence,Proche,Femme,72
22,83,Moyen,Haut,Oui,5,82,Moyen,Oui,2,Bas,Haut,Publique,Positif,3,Non,Master,Proche,Femme,71
22,87,Haut,Haut,Non,5,80,Bas,Oui,2,Bas,Haut,Publique,Negative,3,Non,Lycee,Proche,Femme,70
16,92,Moyen,Haut,Oui,5,85,Bas,Oui,1,Bas,Moyen,Publique,Neutre,2,Non,Lycee,Moderee,Homme,68
21,86,Bas,Moyen,Oui,5,51,Moyen,Oui,2,Bas,Haut,Publique,Positif,2,Non,Lycee,Moderee,Femme,67
22,76,Moyen,Moyen,Oui,8,92,Moyen,Oui,1,Bas,Haut,Publique,Neutre,4,Non,Lycee,Proche,Femme,68
16,81,Moyen,Moyen,Oui,8,74,Moyen,Oui,3,Moyen,Moyen,Publique,Positif,2,Non,Master,Proche,Femme,68
31,92,Moyen,Moyen,Oui,4,76,Moyen,Oui,2,Moyen,Haut,Publique,Positif,4,Oui,Lycee,Loin,Homme,72
23,75,Bas,Haut,Non,6,71,Bas,Oui,0,Moyen,Moyen,Publique,Neutre,2,Non,Licence,Proche,Homme,65
13,76,Moyen,Haut,Non,5,99,Bas,Oui,2,Moyen,Moyen,Privee,Positif,4,Non,Lycee,Proche,Femme,66
24,64,Moyen,Moyen,Oui,8,90,Haut,Oui,0,Bas,Haut,Publique,Negative,3,Non,Lycee,Proche,Homme,65
14,97,Moyen,Moyen,Oui,6,66,Moyen,Oui,2,Moyen,Moyen,Publique,Negative,3,Oui,Licence,Proche,Femme,67
25,64,Moyen,Haut,Non,5,89,Bas,Oui,2,Moyen,Moyen,Publique,Neutre,4,Non,Licence,Loin,Homme,66
27,86,Moyen,Moyen,Non,7,72,Bas,Oui,1,Moyen,Haut,Publique,Positif,4,Non,Lycee,Loin,Homme,69
15,77,Moyen,Moyen,Oui,8,94,Bas,Oui,0,Haut,Haut,Publique,Positif,3,Non,Licence,Moderee,Homme,66
26,76,Moyen,Haut,Oui,6,52,Moyen,Oui,4,Haut,Bas,Publique,Neutre,3,Non,Lycee,Proche,Homme,69
22,87,Haut,Bas,Oui,7,68,Moyen,Non,0,Bas,Moyen,Publique,Neutre,2,Non,Lycee,Proche,Homme,67
25,63,Haut,Moyen,Oui,6,71,Moyen,Oui,1,Moyen,Bas,Privee,Positif,3,Non,Lycee,Proche,Homme,66
31,84,Moyen,Moyen,Oui,9,87,Moyen,Oui,2,Bas,Moyen,Privee,Neutre,3,Non,Licence,Loin,Homme,71
19,91,Haut,Bas,Non,6,59,Moyen,Oui,5,Moyen,Haut,Publique,Neutre,4,Non,Licence,Moderee,Homme,70
15,93,Haut,Moyen,Non,6,64,Moyen,Oui,2,Moyen,Haut,Publique,Positif,4,Non,Master,Proche,Homme,71
15,67,Moyen,Moyen,Oui,7,86,Haut,Oui,1,Haut,Moyen,Privee,Positif,3,Non,Master,Proche,Homme,66
15,96,Moyen,Moyen,Non,7,54,Haut,Non,3,Moyen,Haut,Publique,Negative,2,Non,Lycee,Proche,Homme,67
20,86,Haut,Bas,Non,8,60,Moyen,Oui,1,Moyen,Moyen,Publique,Neutre,4,Oui,Licence,Loin,Femme,66
22,95,Moyen,Haut,Non,9,88,Bas,Oui,0,Bas,Haut,Publique,Positif,2,Non,Master,Proche,Homme,72
22,79,Moyen,Moyen,Non,9,94,Moyen,Oui,1,Moyen,Moyen,Publique,Positif,3,Non,Lycee,Proche,Homme,68
25,82,Moyen,Moyen,Non,6,86,Moyen,Non,3,Bas,Haut,Publique,Positif,3,Non,Lycee,Proche,Femme,69
20,97,Moyen,Moyen,Oui,7,76,Bas,Oui,2,Bas,Bas,Privee,Positif,3,Non,Master,Proche,Homme,71
29,96,Moyen,Moyen,Oui,9,55,Bas,Non,0,Moyen,Moyen,Publique,Neutre,2,Non,Master,Loin,Femme,70
18,78,Moyen,Moyen,Non,9,91,Haut,Oui,2,Haut,Bas,Publique,Neutre,4,Non,Licence,Loin,Femme,67
36,71,Moyen,Moyen,Oui,6,56,Moyen,Oui,2,Haut,Moyen,Publique,Positif,2,Non,Lycee,Loin,Homme,69
24,76,Bas,Haut,Non,8,69,Bas,Oui,2,Moyen,Moyen,Publique,Neutre,1,Non,Lycee,Moderee,Homme,65
15,76,Haut,Haut,Non,8,53,Moyen,Oui,1,Bas,Moyen,Publique,Neutre,4,Non,Licence,Proche,Homme,65
14,71,Moyen,Moyen,Oui,8,85,Bas,Oui,2,Moyen,Haut,Publique,Neutre,4,Non,Lycee,Proche,Homme,64
23,71,Bas,Bas,Oui,9,75,Bas,Oui,1,Bas,Moyen,Publique,Negative,2,Non,Licence,Proche,Homme,63
19,94,Bas,Moyen,Oui,5,95,Moyen,Oui,3,Bas,Bas,Publique,Positif,2,Non,Lycee,Moderee,Homme,69
24,63,Moyen,Bas,Oui,6,57,Moyen,Oui,1,Bas,Haut,Privee,Neutre,5,Non,Licence,Proche,Femme,64
23,87,Haut,Haut,Oui,8,91,Haut,Oui,0,Haut,Moyen,Privee,Positif,3,Non,Lycee,Moderee,Homme,72
20,67,Bas,Moyen,Oui,7,76,Moyen,Oui,0,Moyen,Moyen,Publique,Neutre,4,Non,Lycee,Proche,Homme,63
15,74,Bas,Haut,Oui,4,68,Bas,Oui,3,Bas,Moyen,Publique,Positif,3,Non,Lycee,Proche,Femme,64
11,62,Moyen,Haut,Oui,5,82,Moyen,Oui,3,Haut,Moyen,Privee,Neutre,4,Non,Licence,Moderee,Homme,64
17,71,Moyen,Moyen,Oui,8,90,Moyen,Oui,5,Moyen,Moyen,Publique,Positif,1,Non,Master,Loin,Homme,67
25,91,Moyen,Moyen,Non,8,72,Bas,Oui,2,Moyen,Haut,Publique,Positif,0,Non,Master,Proche,Homme,71
21,95,Moyen,Moyen,Non,5,62,Haut,Oui,1,Moyen,Bas,Publique,Positif,4,Non,Lycee,Proche,Homme,70
13,69,Moyen,Bas,Oui,9,96,Bas,Oui,0,Haut,Moyen,Privee,Neutre,4,Non,Lycee,Loin,Femme,61
21,79,Moyen,Haut,Oui,7,66,Bas,Oui,2,Bas,Moyen,Publique,Negative,4,Non,Licence,Moderee,Homme,67
22,79,Haut,Moyen,Non,5,100,Moyen,Oui,4,Haut,Haut,Publique,Negative,3,Non,Licence,Proche,Homme,72
15,95,Bas,Bas,Oui,6,88,Bas,Oui,1,Bas,Moyen,Publique,Negative,5,Non,Lycee,Proche,Homme,66
21,91,Moyen,Haut,Oui,5,84,Moyen,Oui,1,Haut,Bas,Publique,Neutre,2,Non,Lycee,Proche,Homme,70
20,81,Haut,Moyen,Oui,6,51,Haut,Non,3,Moyen,Moyen,Publique,Neutre,4,Oui,Lycee,Proche,Homme,67
13,87,Haut,Bas,Oui,4,72,Moyen,Oui,2,Moyen,Haut,Publique,Neutre,3,Non,Lycee,Moderee,Femme,67
22,94,Bas,Moyen,Oui,7,75,Haut,Oui,2,Haut,Moyen,Publique,Neutre,2,Non,Licence,Proche,Femme,71
